LAND;EIU;REGION;NETZ;ANLAGEN_NR;STR_NR;VON_KM;BIS_KM;VON_KM_I;BIS_KM_I;RIKZ;RIL_100;STR_MEHRFACHZUORD;LAENGE;ANZ_STR_GL;QUERSCHN;BAUWEISE;WL_SERVICEEINR
NW;DB Netz (ohne RNI);W;Hagen;13000163;2113;5,5 + 73;6,3 + 68;100550073;100630068;0;nv;nv;795;2;48,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000165;3600;78,1 + 85;81,8 + 22;107810085;108180022;1;nv;nv;3637;1;37,800;B;nv
NW;DB Netz (ohne RNI);W;Duisburg;13000166;2161;4,7 + 49;4,9 + 96;100470049;100490096;0;EESA;nv;247;1;45,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000167;3825;12,4 + 34;12,6 + 70;101240034;101260070;0;nv;nv;233;2;48,000;B;nv
NW;DB Netz (ohne RNI);W;Duisburg;13000168;2400;16,4 + 12;16,7 + 38;101640012;101670038;0;EHOS;nv;326;2;47,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000169;3825;13,1 + 12;13,2 + 63;101310012;101320063;0;nv;nv;151;2;48,000;B;nv
NW;DB Netz (ohne RNI);W;Düsseldorf;13000172;2143;16,8 + 7;17,7 + 42;101680007;101770042;0;nv;nv;935;1;52,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000173;3825;22,1 + 80;23,2 + 72;102210080;102320072;0;nv;nv;1092;2;49,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000175;3825;30,4 + 56;30,6 + 64;103040056;103060064;0;nv;nv;208;2;48,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000176;2810;39,6 + 12;39,9 + 96;103960012;103990096;0;nv;nv;384;1;40,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000177;2815;0,6 + 67;1,0 + 67;100060067;100100067;0;nv;nv;400;1;37,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000179;6340;232,1 + 73;232,4 + 12;123210073;123240012;0;nv;nv;239;2;48,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000180;6340;250,3 + 63;250,7 + 97;125030063;125070097;0;nv;nv;434;2;48,000;B;nv
HE;RNI;MI;Kurhessenbahn (RNI);13000187;2972;80,4 + 5;80,5 + 90;108040005;108050090;0;nv;nv;185;1;24,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000192;3710;25,8 + 99;26,3 + 94;102580099;102630094;0;nv;nv;495;2;41,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000193;3710;26,7 + 4;27,1 + 37;102670004;102710037;0;nv;nv;433;2;41,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000194;3710;27,4 + 46;27,6 + 69;102740046;102760069;0;nv;nv;223;2;41,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000195;3710;29,3 + 25;29,4 + 52;102930025;102940052;0;nv;nv;127;2;41,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000196;3710;40,7 + 26;40,9 + 54;104070026;104090054;0;nv;nv;228;2;41,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000198;3710;55,1 + 22;55,1 + 87;105510022;105510087;0;nv;nv;65;2;42,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000199;3710;56,3 + 24;56,4 + 31;105630024;105640031;0;nv;nv;107;2;42,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000200;3710;57,4 + 53;57,8 + 77;105740053;105780077;0;nv;nv;424;2;42,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000201;3710;59,8 + 58;60,1 + 20;105980058;106010020;0;nv;nv;262;1;42,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000202;3710;60,1 + 99;60,3 + 92;106010099;106030092;0;nv;nv;193;1;42,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000203;3710;62,6 + 23;63,3 + 55;106260023;106330055;0;nv;nv;732;2;42,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000204;3710;67,7 + 46;67,9 + 71;106770046;106790071;0;nv;nv;225;2;41,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000205;3710;72,2 + 52;72,8 + 44;107220052;107280044;0;nv;nv;592;2;42,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000206;3710;74,4 + 84;74,9 + 34;107440084;107490034;0;nv;nv;450;2;42,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000207;3710;75,1 + 5;75,3 + 39;107510005;107530039;0;nv;nv;234;2;67,000;B;nv
RP;DB Netz (ohne RNI);MI;Frankfurt (Main);13000208;3710;76,1 + 41;76,4 + 62;107610041;107640062;0;nv;nv;321;2;65,000;B;nv
HE;DB Netz (ohne RNI);MI;Mainz;13000209;3501;16,8 + 78;17,1 + 13;101680078;101710013;1;nv;nv;235;1;44,000;B;nv
RP;DB Netz (ohne RNI);MI;Mainz;13000214;3507;88,0 + 32;88,4 + 89;108800032;108840089;0;nv;nv;457;2;48,700;B;nv
RP;DB Netz (ohne RNI);MI;Mainz;13000215;3507;88,0 + 70;88,4 + 48;108800070;108840048;0;nv;nv;378;2;41,000;B;nv
RP;DB Netz (ohne RNI);MI;Koblenz;13000216;3507;91,7 + 4;92,1 + 21;109170004;109210021;1;nv;nv;417;2;48,700;B;nv
RP;DB Netz (ohne RNI);MI;Koblenz;13000217;3507;91,7 + 33;92,0 + 78;109170033;109200078;2;nv;nv;345;2;41,000;B;nv
HE;DB Netz (ohne RNI);MI;Mainz;13000218;3554;21,2 + 8;21,4 + 46;102120008;102140046;0;nv;nv;238;1;45,000;B;nv
HE;DB Netz (ohne RNI);MI;Mainz;13000219;4113;19,0 + 36;22,1 + 36;101900036;102210036;0;nv;nv;3100;1;24,000;B;nv
